Technology,Parameter,Scenario,Year,Value,Unit,Source
"Solar PV, Rooftop",CAPEX_power,National Trends,2030,720000,€/MW,TYNDP 2024
"Solar PV, Rooftop",CAPEX_power,Distributed Energy,2030,712800,€/MW,TYNDP 2024
"Solar PV, Rooftop",CAPEX_power,Global Ambition,2030,727200,€/MW,TYNDP 2024
"Solar PV, Rooftop",CAPEX_power,National Trends,2035,650000,€/MW,TYNDP 2024
"Solar PV, Rooftop",CAPEX_power,Distributed Energy,2035,602900,€/MW,TYNDP 2024
"Solar PV, Rooftop",CAPEX_power,Global Ambition,2035,697100,€/MW,TYNDP 2024
"Solar PV, Rooftop",CAPEX_power,National Trends,2040,580000,€/MW,TYNDP 2024
"Solar PV, Rooftop",CAPEX_power,Distributed Energy,2040,493000,€/MW,TYNDP 2024
"Solar PV, Rooftop",CAPEX_power,Global Ambition,2040,667000,€/MW,TYNDP 2024
"Solar PV, Rooftop",CAPEX_power,National Trends,2045,550000,€/MW,TYNDP 2024
"Solar PV, Rooftop",CAPEX_power,Distributed Energy,2045,454500,€/MW,TYNDP 2024
"Solar PV, Rooftop",CAPEX_power,Global Ambition,2045,645500,€/MW,TYNDP 2024
"Solar PV, Rooftop",CAPEX_power,National Trends,2050,520000,€/MW,TYNDP 2024
"Solar PV, Rooftop",CAPEX_power,Distributed Energy,2050,416000,€/MW,TYNDP 2024
"Solar PV, Rooftop",CAPEX_power,Global Ambition,2050,624000,€/MW,TYNDP 2024
"Solar PV, Utility",CAPEX_power,National Trends,2030,3334000,€/MW,TYNDP 2024
"Solar PV, Utility",CAPEX_power,Distributed Energy,2030,3300660,€/MW,TYNDP 2024
"Solar PV, Utility",CAPEX_power,Global Ambition,2030,3367340,€/MW,TYNDP 2024
"Solar PV, Utility",CAPEX_power,National Trends,2035,3155000,€/MW,TYNDP 2024
"Solar PV, Utility",CAPEX_power,Distributed Energy,2035,2915130,€/MW,TYNDP 2024
"Solar PV, Utility",CAPEX_power,Global Ambition,2035,3394870,€/MW,TYNDP 2024
"Solar PV, Utility",CAPEX_power,National Trends,2040,2976000,€/MW,TYNDP 2024
"Solar PV, Utility",CAPEX_power,Distributed Energy,2040,2529600,€/MW,TYNDP 2024
"Solar PV, Utility",CAPEX_power,Global Ambition,2040,3422400,€/MW,TYNDP 2024
"Solar PV, Utility",CAPEX_power,National Trends,2045,2858000,€/MW,TYNDP 2024
"Solar PV, Utility",CAPEX_power,Distributed Energy,2045,2360800,€/MW,TYNDP 2024
"Solar PV, Utility",CAPEX_power,Global Ambition,2045,3355200,€/MW,TYNDP 2024
"Solar PV, Utility",CAPEX_power,National Trends,2050,2740000,€/MW,TYNDP 2024
"Solar PV, Utility",CAPEX_power,Distributed Energy,2050,2192000,€/MW,TYNDP 2024
"Solar PV, Utility",CAPEX_power,Global Ambition,2050,3288000,€/MW,TYNDP 2024
Onshore Wind,CAPEX_power,National Trends,2030,1040000,€/MW,TYNDP 2024
Onshore Wind,CAPEX_power,Distributed Energy,2030,1029600,€/MW,TYNDP 2024
Onshore Wind,CAPEX_power,Global Ambition,2030,1050400,€/MW,TYNDP 2024
Onshore Wind,CAPEX_power,National Trends,2035,1015000,€/MW,TYNDP 2024
Onshore Wind,CAPEX_power,Distributed Energy,2035,992475,€/MW,TYNDP 2024
Onshore Wind,CAPEX_power,Global Ambition,2035,1037525,€/MW,TYNDP 2024
Onshore Wind,CAPEX_power,National Trends,2040,990000,€/MW,TYNDP 2024
Onshore Wind,CAPEX_power,Distributed Energy,2040,955350,€/MW,TYNDP 2024
Onshore Wind,CAPEX_power,Global Ambition,2040,1024650,€/MW,TYNDP 2024
Onshore Wind,CAPEX_power,National Trends,2045,980000,€/MW,TYNDP 2024
Onshore Wind,CAPEX_power,Distributed Energy,2045,937725,€/MW,TYNDP 2024
Onshore Wind,CAPEX_power,Global Ambition,2045,1022275,€/MW,TYNDP 2024
Onshore Wind,CAPEX_power,National Trends,2050,970000,€/MW,TYNDP 2024
Onshore Wind,CAPEX_power,Distributed Energy,2050,920100,€/MW,TYNDP 2024
Onshore Wind,CAPEX_power,Global Ambition,2050,1019900,€/MW,TYNDP 2024
"Offshore Wind, Fixed AC Radial",CAPEX_power,National Trends,2030,1800000,€/MW,TYNDP 2024
"Offshore Wind, Fixed AC Radial",CAPEX_power,Distributed Energy,2030,1818000,€/MW,TYNDP 2024
"Offshore Wind, Fixed AC Radial",CAPEX_power,Global Ambition,2030,1782000,€/MW,TYNDP 2024
"Offshore Wind, Fixed AC Radial",CAPEX_power,National Trends,2035,1725000,€/MW,TYNDP 2024
"Offshore Wind, Fixed AC Radial",CAPEX_power,Distributed Energy,2035,1813875,€/MW,TYNDP 2024
"Offshore Wind, Fixed AC Radial",CAPEX_power,Global Ambition,2035,1636125,€/MW,TYNDP 2024
"Offshore Wind, Fixed AC Radial",CAPEX_power,National Trends,2040,1650000,€/MW,TYNDP 2024
"Offshore Wind, Fixed AC Radial",CAPEX_power,Distributed Energy,2040,1809750,€/MW,TYNDP 2024
"Offshore Wind, Fixed AC Radial",CAPEX_power,Global Ambition,2040,1490250,€/MW,TYNDP 2024
"Offshore Wind, Fixed AC Radial",CAPEX_power,National Trends,2045,1645000,€/MW,TYNDP 2024
"Offshore Wind, Fixed AC Radial",CAPEX_power,Distributed Energy,2045,1805675,€/MW,TYNDP 2024
"Offshore Wind, Fixed AC Radial",CAPEX_power,Global Ambition,2045,1484325,€/MW,TYNDP 2024
"Offshore Wind, Fixed AC Radial",CAPEX_power,National Trends,2050,1640000,€/MW,TYNDP 2024
"Offshore Wind, Fixed AC Radial",CAPEX_power,Distributed Energy,2050,1801600,€/MW,TYNDP 2024
"Offshore Wind, Fixed AC Radial",CAPEX_power,Global Ambition,2050,1478400,€/MW,TYNDP 2024
"Offshore Wind, Fixed DC Radial",CAPEX_power,National Trends,2030,2470000,€/MW,TYNDP 2024
"Offshore Wind, Fixed DC Radial",CAPEX_power,Distributed Energy,2030,2494700,€/MW,TYNDP 2024
"Offshore Wind, Fixed DC Radial",CAPEX_power,Global Ambition,2030,2445300,€/MW,TYNDP 2024
"Offshore Wind, Fixed DC Radial",CAPEX_power,National Trends,2035,2390000,€/MW,TYNDP 2024
"Offshore Wind, Fixed DC Radial",CAPEX_power,Distributed Energy,2035,2488925,€/MW,TYNDP 2024
"Offshore Wind, Fixed DC Radial",CAPEX_power,Global Ambition,2035,2291075,€/MW,TYNDP 2024
"Offshore Wind, Fixed DC Radial",CAPEX_power,National Trends,2040,2310000,€/MW,TYNDP 2024
"Offshore Wind, Fixed DC Radial",CAPEX_power,Distributed Energy,2040,2483150,€/MW,TYNDP 2024
"Offshore Wind, Fixed DC Radial",CAPEX_power,Global Ambition,2040,2136850,€/MW,TYNDP 2024
"Offshore Wind, Fixed DC Radial",CAPEX_power,National Trends,2045,2300000,€/MW,TYNDP 2024
"Offshore Wind, Fixed DC Radial",CAPEX_power,Distributed Energy,2045,2477475,€/MW,TYNDP 2024
"Offshore Wind, Fixed DC Radial",CAPEX_power,Global Ambition,2045,2122525,€/MW,TYNDP 2024
"Offshore Wind, Fixed DC Radial",CAPEX_power,National Trends,2050,2290000,€/MW,TYNDP 2024
"Offshore Wind, Fixed DC Radial",CAPEX_power,Distributed Energy,2050,2471800,€/MW,TYNDP 2024
"Offshore Wind, Fixed DC Radial",CAPEX_power,Global Ambition,2050,2108200,€/MW,TYNDP 2024
"Offshore Wind, Fixed Hub",CAPEX_power,National Trends,2030,2060000,€/MW,TYNDP 2024
"Offshore Wind, Fixed Hub",CAPEX_power,Distributed Energy,2030,2080600,€/MW,TYNDP 2024
"Offshore Wind, Fixed Hub",CAPEX_power,Global Ambition,2030,2039400,€/MW,TYNDP 2024
"Offshore Wind, Fixed Hub",CAPEX_power,National Trends,2035,1980000,€/MW,TYNDP 2024
"Offshore Wind, Fixed Hub",CAPEX_power,Distributed Energy,2035,2075850,€/MW,TYNDP 2024
"Offshore Wind, Fixed Hub",CAPEX_power,Global Ambition,2035,1884150,€/MW,TYNDP 2024
"Offshore Wind, Fixed Hub",CAPEX_power,National Trends,2040,1900000,€/MW,TYNDP 2024
"Offshore Wind, Fixed Hub",CAPEX_power,Distributed Energy,2040,2071100,€/MW,TYNDP 2024
"Offshore Wind, Fixed Hub",CAPEX_power,Global Ambition,2040,1728900,€/MW,TYNDP 2024
"Offshore Wind, Fixed Hub",CAPEX_power,National Trends,2045,1890000,€/MW,TYNDP 2024
"Offshore Wind, Fixed Hub",CAPEX_power,Distributed Energy,2045,2066450,€/MW,TYNDP 2024
"Offshore Wind, Fixed Hub",CAPEX_power,Global Ambition,2045,1713550,€/MW,TYNDP 2024
"Offshore Wind, Fixed Hub",CAPEX_power,National Trends,2050,1880000,€/MW,TYNDP 2024
"Offshore Wind, Fixed Hub",CAPEX_power,Distributed Energy,2050,2061800,€/MW,TYNDP 2024
"Offshore Wind, Fixed Hub",CAPEX_power,Global Ambition,2050,1698200,€/MW,TYNDP 2024
"Offshore Wind, Floating AC Radial",CAPEX_power,National Trends,2030,2898000,€/MW,TYNDP 2024
"Offshore Wind, Floating AC Radial",CAPEX_power,Distributed Energy,2030,2926980,€/MW,TYNDP 2024
"Offshore Wind, Floating AC Radial",CAPEX_power,Global Ambition,2030,2869020,€/MW,TYNDP 2024
"Offshore Wind, Floating AC Radial",CAPEX_power,National Trends,2035,2447250,€/MW,TYNDP 2024
"Offshore Wind, Floating AC Radial",CAPEX_power,Distributed Energy,2035,2611478,€/MW,TYNDP 2024
"Offshore Wind, Floating AC Radial",CAPEX_power,Global Ambition,2035,2283023,€/MW,TYNDP 2024
"Offshore Wind, Floating AC Radial",CAPEX_power,National Trends,2040,1996500,€/MW,TYNDP 2024
"Offshore Wind, Floating AC Radial",CAPEX_power,Distributed Energy,2040,2295975,€/MW,TYNDP 2024
"Offshore Wind, Floating AC Radial",CAPEX_power,Global Ambition,2040,1697025,€/MW,TYNDP 2024
"Offshore Wind, Floating AC Radial",CAPEX_power,National Trends,2045,1949450,€/MW,TYNDP 2024
"Offshore Wind, Floating AC Radial",CAPEX_power,Distributed Energy,2045,2289428,€/MW,TYNDP 2024
"Offshore Wind, Floating AC Radial",CAPEX_power,Global Ambition,2045,1609473,€/MW,TYNDP 2024
"Offshore Wind, Floating AC Radial",CAPEX_power,National Trends,2050,1902400,€/MW,TYNDP 2024
"Offshore Wind, Floating AC Radial",CAPEX_power,Distributed Energy,2050,2282880,€/MW,TYNDP 2024
"Offshore Wind, Floating AC Radial",CAPEX_power,Global Ambition,2050,1521920,€/MW,TYNDP 2024
"Offshore Wind, Floating DC Radial",CAPEX_power,National Trends,2030,3976700,€/MW,TYNDP 2024
"Offshore Wind, Floating DC Radial",CAPEX_power,Distributed Energy,2030,4016467,€/MW,TYNDP 2024
"Offshore Wind, Floating DC Radial",CAPEX_power,Global Ambition,2030,3936933,€/MW,TYNDP 2024
"Offshore Wind, Floating DC Radial",CAPEX_power,National Trends,2035,3385900,€/MW,TYNDP 2024
"Offshore Wind, Floating DC Radial",CAPEX_power,Distributed Energy,2035,3615416,€/MW,TYNDP 2024
"Offshore Wind, Floating DC Radial",CAPEX_power,Global Ambition,2035,3156384,€/MW,TYNDP 2024
"Offshore Wind, Floating DC Radial",CAPEX_power,National Trends,2040,2795100,€/MW,TYNDP 2024
"Offshore Wind, Floating DC Radial",CAPEX_power,Distributed Energy,2040,3214365,€/MW,TYNDP 2024
"Offshore Wind, Floating DC Radial",CAPEX_power,Global Ambition,2040,2375835,€/MW,TYNDP 2024
"Offshore Wind, Floating DC Radial",CAPEX_power,National Trends,2045,2725750,€/MW,TYNDP 2024
"Offshore Wind, Floating DC Radial",CAPEX_power,Distributed Energy,2045,3201023,€/MW,TYNDP 2024
"Offshore Wind, Floating DC Radial",CAPEX_power,Global Ambition,2045,2250478,€/MW,TYNDP 2024
"Offshore Wind, Floating DC Radial",CAPEX_power,National Trends,2050,2656400,€/MW,TYNDP 2024
"Offshore Wind, Floating DC Radial",CAPEX_power,Distributed Energy,2050,3187680,€/MW,TYNDP 2024
"Offshore Wind, Floating DC Radial",CAPEX_power,Global Ambition,2050,2125120,€/MW,TYNDP 2024
"Offshore Wind, Floating Hub",CAPEX_power,National Trends,2030,3316600,€/MW,TYNDP 2024
"Offshore Wind, Floating Hub",CAPEX_power,Distributed Energy,2030,3349766,€/MW,TYNDP 2024
"Offshore Wind, Floating Hub",CAPEX_power,Global Ambition,2030,3283434,€/MW,TYNDP 2024
"Offshore Wind, Floating Hub",CAPEX_power,National Trends,2035,2807800,€/MW,TYNDP 2024
"Offshore Wind, Floating Hub",CAPEX_power,Distributed Energy,2035,2996808,€/MW,TYNDP 2024
"Offshore Wind, Floating Hub",CAPEX_power,Global Ambition,2035,2618792,€/MW,TYNDP 2024
"Offshore Wind, Floating Hub",CAPEX_power,National Trends,2040,2299000,€/MW,TYNDP 2024
"Offshore Wind, Floating Hub",CAPEX_power,Distributed Energy,2040,2643850,€/MW,TYNDP 2024
"Offshore Wind, Floating Hub",CAPEX_power,Global Ambition,2040,1954150,€/MW,TYNDP 2024
"Offshore Wind, Floating Hub",CAPEX_power,National Trends,2045,2239900,€/MW,TYNDP 2024
"Offshore Wind, Floating Hub",CAPEX_power,Distributed Energy,2045,2630405,€/MW,TYNDP 2024
"Offshore Wind, Floating Hub",CAPEX_power,Global Ambition,2045,1849395,€/MW,TYNDP 2024
"Offshore Wind, Floating Hub",CAPEX_power,National Trends,2050,2180800,€/MW,TYNDP 2024
"Offshore Wind, Floating Hub",CAPEX_power,Distributed Energy,2050,2616960,€/MW,TYNDP 2024
